"ProcedureName","Domain","DetectedPattern","RecommendedStrategy","Confidence","ProcedureType","InsertCount","UpdateCount","DeleteCount","TotalDMLOps","HasTransactionHandling","HasValidation","Rationale"
"inv_inventory_Add_Item","Inventory","SEQUENTIAL","EXPLICIT (Already implemented)","High","Create","4","2","0","6","Yes","Yes","[SEQUENTIAL] | [4 INSERTs] + [2 UPDATEs] | [Has explicit transaction handling] | [Has validation]"
"inv_inventory_Fix_BatchNumbers","Inventory","BATCH_UPDATE","EXPLICIT (Already implemented)","High","Maintenance","0","3","0","3","Yes","Yes","[BATCH_UPDATE] | [3 UPDATEs] | [Has explicit transaction handling] | [Has validation]"
"inv_inventory_Get_ByPartID","Inventory","QUERY","NONE (Read-only)","High","Read","0","0","0","0","No","Yes","[READ-ONLY] | [Has validation]"
"inv_inventory_Get_ByPartIDandOperation","Inventory","QUERY","NONE (Read-only)","High","Read","0","0","0","0","No","Yes","[READ-ONLY] | [Has validation]"
"inv_inventory_Get_ByUser","Inventory","QUERY","NONE (Read-only)","High","Read","0","0","0","0","No","Yes","[READ-ONLY] | [Has validation]"
"inv_inventory_Remove_Item","Inventory","MIXED_DML","EXPLICIT (Already implemented)","High","Delete","1","0","2","3","Yes","Yes","[MIXED_DML] | [1 INSERT] + [2 DELETEs] | [Has explicit transaction handling] | [Has validation]"
"inv_inventory_Search_Advanced","Inventory","QUERY","NONE (Read-only)","High","Complex","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"inv_inventory_Transfer_Part","Inventory","SIMPLE_UPDATE","IMPLICIT (Single DML)","High","Transfer","0","1","0","1","Yes","Yes","[SIMPLE_UPDATE] | [1 UPDATE] | [Has explicit transaction handling] | [Has validation]"
"inv_inventory_Transfer_Quantity","Inventory","SEQUENTIAL","EXPLICIT (Already implemented)","High","Transfer","1","1","0","2","Yes","Yes","[SEQUENTIAL] | [1 INSERT] + [1 UPDATE] | [Has explicit transaction handling] | [Has validation]"
"inv_transaction_Add","Transactions","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Complex","1","0","0","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT] | [Has explicit transaction handling] | [Has validation]"
"inv_transactions_GetAnalytics","Transactions","QUERY","NONE (Read-only)","High","Complex","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"inv_transactions_SmartSearch","Transactions","QUERY","NONE (Read-only)","High","Complex","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"log_changelog_Get_Current","Logging","QUERY","NONE (Read-only)","High","Read","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"log_error_Add_Error","Logging","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Create","1","0","0","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT] | [Has explicit transaction handling] | [Has validation]"
"log_error_Delete_All","Logging","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","0","1","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE] | [Has explicit transaction handling] | [Has validation]"
"log_error_Delete_ById","Logging","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","0","1","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE] | [Has explicit transaction handling] | [Has validation]"
"log_error_Get_All","Logging","QUERY","NONE (Read-only)","High","Read","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"log_error_Get_ByDateRange","Logging","QUERY","NONE (Read-only)","High","Read","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"log_error_Get_ByUser","Logging","QUERY","NONE (Read-only)","High","Read","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"log_error_Get_Unique","Logging","QUERY","NONE (Read-only)","High","Read","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"md_item_types_Add_ItemType","Master Data","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Create","1","0","0","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT] | [Has explicit transaction handling] | [Has validation]"
"md_item_types_Delete_ByID","Master Data","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","0","1","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE] | [Has explicit transaction handling] | [Has validation]"
"md_item_types_Delete_ByType","Master Data","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","0","1","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE] | [Has explicit transaction handling] | [Has validation]"
"md_item_types_Get_All","Master Data","QUERY","NONE (Read-only)","High","Read","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"md_item_types_Update_ItemType","Master Data","BATCH_UPDATE","EXPLICIT (Already implemented)","High","Update","0","2","0","2","Yes","Yes","[BATCH_UPDATE] | [2 UPDATEs] | [Has explicit transaction handling] | [Has validation]"
"md_locations_Add_Location","Master Data","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Create","1","0","0","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT] | [Has explicit transaction handling] | [Has validation]"
"md_locations_Delete_ByLocation","Master Data","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","0","1","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE] | [Has explicit transaction handling] | [Has validation]"
"md_locations_Get_All","Master Data","QUERY","NONE (Read-only)","High","Read","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"md_locations_Update_Location","Master Data","BATCH_UPDATE","EXPLICIT (Already implemented)","High","Update","0","2","0","2","Yes","Yes","[BATCH_UPDATE] | [2 UPDATEs] | [Has explicit transaction handling] | [Has validation]"
"md_operation_numbers_Add_Operation","Master Data","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Create","1","0","0","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT] | [Has explicit transaction handling] | [Has validation]"
"md_operation_numbers_Delete_ByOperation","Master Data","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","0","1","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE] | [Has explicit transaction handling] | [Has validation]"
"md_operation_numbers_Get_All","Master Data","QUERY","NONE (Read-only)","High","Read","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"md_operation_numbers_Update_Operation","Master Data","BATCH_UPDATE","EXPLICIT (Already implemented)","High","Update","0","2","0","2","Yes","Yes","[BATCH_UPDATE] | [2 UPDATEs] | [Has explicit transaction handling] | [Has validation]"
"md_part_ids_Add_Part","Master Data","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Create","1","0","0","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT] | [Has explicit transaction handling] | [Has validation]"
"md_part_ids_Delete_ByItemNumber","Master Data","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","0","1","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE] | [Has explicit transaction handling] | [Has validation]"
"md_part_ids_Get_All","Master Data","QUERY","NONE (Read-only)","High","Read","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"md_part_ids_Get_ByItemNumber","Master Data","QUERY","NONE (Read-only)","High","Read","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"md_part_ids_Update_Part","Master Data","BATCH_UPDATE","EXPLICIT (Already implemented)","High","Update","0","2","0","2","Yes","Yes","[BATCH_UPDATE] | [2 UPDATEs] | [Has explicit transaction handling] | [Has validation]"
"sys_GetUserAccessType","System","QUERY","NONE (Read-only)","High","Complex","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_AddQuickButton_1","System","SEQUENTIAL","EXPLICIT (Already implemented)","High","Complex","1","1","0","2","Yes","Yes","[SEQUENTIAL] | [1 INSERT] + [1 UPDATE] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_Get_ByUser_1","System","QUERY","NONE (Read-only)","High","Read","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_Get_ByUser","System","QUERY","NONE (Read-only)","High","Read","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_Move_1","System","SEQUENTIAL","EXPLICIT (Already implemented)","High","Transfer","1","2","2","5","Yes","Yes","[SEQUENTIAL] | [1 INSERT] + [2 UPDATEs] + [2 DELETEs] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_MoveToLast_ByUser","System","BATCH_UPDATE","EXPLICIT (Already implemented)","High","Complex","0","3","0","3","Yes","Yes","[BATCH_UPDATE] | [3 UPDATEs] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_RemoveAndShift_ByUser_1","System","MIXED_DML","EXPLICIT (Already implemented)","High","Complex","0","1","1","2","Yes","Yes","[MIXED_DML] | [1 UPDATE] + [1 DELETE] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_RemoveAndShift_ByUser","System","MIXED_DML","EXPLICIT (Already implemented)","High","Complex","0","1","1","2","Yes","Yes","[MIXED_DML] | [1 UPDATE] + [1 DELETE] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_Reorder_ByUser","System","SEQUENTIAL","EXPLICIT (Already implemented)","High","Complex","2","3","1","6","Yes","Yes","[SEQUENTIAL] | [2 INSERTs] + [3 UPDATEs] + [1 DELETE] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_SwapPositions_ByUser","System","BATCH_UPDATE","EXPLICIT (Already implemented)","High","Complex","0","2","0","2","Yes","Yes","[BATCH_UPDATE] | [2 UPDATEs] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_Update_ByUserAndDate","System","BATCH_UPDATE","EXPLICIT (Already implemented)","High","Update","0","3","0","3","Yes","Yes","[BATCH_UPDATE] | [3 UPDATEs] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_Update_ByUserAndPosition_1","System","BATCH_UPDATE","EXPLICIT (Already implemented)","High","Update","0","3","0","3","Yes","Yes","[BATCH_UPDATE] | [3 UPDATEs] | [Has explicit transaction handling] | [Has validation]"
"sys_role_GetIdByName","System","QUERY","NONE (Read-only)","High","Complex","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"sys_roles_Get_ById","System","QUERY","NONE (Read-only)","High","Read","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"sys_theme_GetAll","System","QUERY","NONE (Read-only)","High","Complex","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"sys_user_access_SetType","System","BATCH_UPDATE","EXPLICIT (Already implemented)","High","Complex","0","4","0","4","Yes","Yes","[BATCH_UPDATE] | [4 UPDATEs] | [Has explicit transaction handling] | [Has validation]"
"sys_user_GetByName","System","QUERY","NONE (Read-only)","High","Complex","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"sys_user_GetIdByName","System","QUERY","NONE (Read-only)","High","Complex","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"sys_user_roles_Add","System","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Complex","1","0","0","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT] | [Has explicit transaction handling] | [Has validation]"
"sys_user_roles_Delete","System","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Complex","0","0","1","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE] | [Has explicit transaction handling] | [Has validation]"
"sys_user_roles_Update","System","SEQUENTIAL","EXPLICIT (Already implemented)","High","Complex","1","1","1","3","Yes","Yes","[SEQUENTIAL] | [1 INSERT] + [1 UPDATE] + [1 DELETE] | [Has explicit transaction handling] | [Has validation]"
"maint_InsertMissingUserUiSettings","Unknown","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Complex","1","0","0","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT] | [Has explicit transaction handling] | [Has validation]"
"maint_reload_part_ids_and_operation_numbers","Unknown","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Complex","1","0","0","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT] | [Has explicit transaction handling] | [Has validation]"
"migrate_user_roles_debug","Unknown","SEQUENTIAL","EXPLICIT (Already implemented)","High","Complex","8","2","0","10","Yes","Yes","[SEQUENTIAL] | [8 INSERTs] + [2 UPDATEs] | [Has explicit transaction handling] | [Has validation]"
"query_get_all_usernames_and_roles","Unknown","QUERY","NONE (Read-only)","High","Read","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"sp_ReassignBatchNumbers","Unknown","BATCH_UPDATE","EXPLICIT (Already implemented)","High","Complex","0","4","0","4","Yes","Yes","[BATCH_UPDATE] | [4 UPDATEs] | [Has explicit transaction handling] | [Has validation]"
"usr_settings_Get","Users","QUERY","NONE (Read-only)","High","Complex","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"usr_settings_GetShortcutsJson","Users","QUERY","NONE (Read-only)","High","Complex","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"usr_settings_SetJsonSetting","Users","SEQUENTIAL","EXPLICIT (Already implemented)","High","Complex","1","2","0","3","Yes","Yes","[SEQUENTIAL] | [1 INSERT] + [2 UPDATEs] | [Has explicit transaction handling] | [Has validation]"
"usr_settings_SetShortcutsJson","Users","BATCH_UPDATE","EXPLICIT (Already implemented)","High","Complex","0","3","0","3","Yes","Yes","[BATCH_UPDATE] | [3 UPDATEs] | [Has explicit transaction handling] | [Has validation]"
"usr_settings_SetThemeJson","Users","BATCH_UPDATE","EXPLICIT (Already implemented)","High","Complex","0","3","0","3","Yes","Yes","[BATCH_UPDATE] | [3 UPDATEs] | [Has explicit transaction handling] | [Has validation]"
"usr_users_Add_User","Users","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Create","1","0","0","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT] | [Has explicit transaction handling] | [Has validation]"
"usr_users_Delete_User","Users","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","0","1","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE] | [Has explicit transaction handling] | [Has validation]"
"usr_users_Exists","Users","QUERY","NONE (Read-only)","High","Complex","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"usr_users_Get_All","Users","QUERY","NONE (Read-only)","High","Read","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"usr_users_Get_ByUser","Users","QUERY","NONE (Read-only)","High","Read","0","0","0","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"usr_users_Update_User","Users","BATCH_UPDATE","EXPLICIT (Already implemented)","High","Update","0","3","0","3","Yes","Yes","[BATCH_UPDATE] | [3 UPDATEs] | [Has explicit transaction handling] | [Has validation]"
