"ProcedureName","Domain","DetectedPattern","RecommendedStrategy","Confidence","ProcedureType","InsertCount","InsertTables","UpdateCount","UpdateTables","DeleteCount","DeleteTables","TotalDMLOps","HasTransactionHandling","HasValidation","Rationale"
"inv_inventory_Add_Item","Inventory","SEQUENTIAL","EXPLICIT (Already implemented)","High","Create","2","inv_inventory(1), inv_transaction(1)","1","inv_inventory_batch_seq(1)","0","","3","Yes","Yes","[SEQUENTIAL] | [2 INSERTs: inv_inventory(1), inv_transaction(1)] + [1 UPDATE: inv_inventory_batch_seq(1)] | [Has explicit transaction handling] | [Has validation]"
"inv_inventory_Fix_BatchNumbers","Inventory","BATCH_UPDATE","EXPLICIT (Already implemented)","High","Maintenance","0","","2","inv_inventory(1), inv_inventory_batch_seq(1)","0","","2","Yes","Yes","[BATCH_UPDATE] | [2 UPDATEs: inv_inventory(1), inv_inventory_batch_seq(1)] | [Has explicit transaction handling] | [Has validation]"
"inv_inventory_Get_ByPartID","Inventory","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","No","Yes","[READ-ONLY] | [Has validation]"
"inv_inventory_Get_ByPartIDandOperation","Inventory","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","No","Yes","[READ-ONLY] | [Has validation]"
"inv_inventory_Get_ByUser","Inventory","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","No","Yes","[READ-ONLY] | [Has validation]"
"inv_inventory_Remove_Item","Inventory","MIXED_DML","EXPLICIT (Already implemented)","High","Delete","1","inv_transaction(1)","0","","2","inv_inventory(2)","3","Yes","Yes","[MIXED_DML] | [1 INSERT: inv_transaction(1)] + [2 DELETEs: inv_inventory(2)] | [Has explicit transaction handling] | [Has validation]"
"inv_inventory_Search_Advanced","Inventory","QUERY","NONE (Read-only)","High","Complex","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"inv_inventory_Transfer_Part","Inventory","SIMPLE_UPDATE","IMPLICIT (Single DML)","High","Transfer","0","","1","inv_inventory(1)","0","","1","Yes","Yes","[SIMPLE_UPDATE] | [1 UPDATE: inv_inventory(1)] | [Has explicit transaction handling] | [Has validation]"
"inv_inventory_Transfer_Quantity","Inventory","SEQUENTIAL","EXPLICIT (Already implemented)","High","Transfer","1","inv_inventory(1)","1","inv_inventory(1)","0","","2","Yes","Yes","[SEQUENTIAL] | [1 INSERT: inv_inventory(1)] + [1 UPDATE: inv_inventory(1)] | [Has explicit transaction handling] | [Has validation]"
"inv_transaction_Add","Transactions","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Complex","1","inv_transaction(1)","0","","0","","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT: inv_transaction(1)] | [Has explicit transaction handling] | [Has validation]"
"inv_transactions_GetAnalytics","Transactions","QUERY","NONE (Read-only)","High","Complex","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"inv_transactions_SmartSearch","Transactions","QUERY","NONE (Read-only)","High","Complex","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"log_changelog_Get_Current","Logging","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"log_error_Add_Error","Logging","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Create","1","log_error(1)","0","","0","","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT: log_error(1)] | [Has explicit transaction handling] | [Has validation]"
"log_error_Delete_All","Logging","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","","0","","1","log_error(1)","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE: log_error(1)] | [Has explicit transaction handling] | [Has validation]"
"log_error_Delete_ById","Logging","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","","0","","1","log_error(1)","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE: log_error(1)] | [Has explicit transaction handling] | [Has validation]"
"log_error_Get_All","Logging","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"log_error_Get_ByDateRange","Logging","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"log_error_Get_ByUser","Logging","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"log_error_Get_Unique","Logging","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"md_item_types_Add_ItemType","Master Data","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Create","1","md_item_types(1)","0","","0","","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT: md_item_types(1)] | [Has explicit transaction handling] | [Has validation]"
"md_item_types_Delete_ByID","Master Data","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","","0","","1","md_item_types(1)","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE: md_item_types(1)] | [Has explicit transaction handling] | [Has validation]"
"md_item_types_Delete_ByType","Master Data","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","","0","","1","md_item_types(1)","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE: md_item_types(1)] | [Has explicit transaction handling] | [Has validation]"
"md_item_types_Get_All","Master Data","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"md_item_types_Update_ItemType","Master Data","SIMPLE_UPDATE","IMPLICIT (Single DML)","High","Update","0","","1","md_item_types(1)","0","","1","Yes","Yes","[SIMPLE_UPDATE] | [1 UPDATE: md_item_types(1)] | [Has explicit transaction handling] | [Has validation]"
"md_locations_Add_Location","Master Data","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Create","1","md_locations(1)","0","","0","","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT: md_locations(1)] | [Has explicit transaction handling] | [Has validation]"
"md_locations_Delete_ByLocation","Master Data","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","","0","","1","md_locations(1)","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE: md_locations(1)] | [Has explicit transaction handling] | [Has validation]"
"md_locations_Get_All","Master Data","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"md_locations_Update_Location","Master Data","SIMPLE_UPDATE","IMPLICIT (Single DML)","High","Update","0","","1","md_locations(1)","0","","1","Yes","Yes","[SIMPLE_UPDATE] | [1 UPDATE: md_locations(1)] | [Has explicit transaction handling] | [Has validation]"
"md_operation_numbers_Add_Operation","Master Data","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Create","1","md_operation_numbers(1)","0","","0","","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT: md_operation_numbers(1)] | [Has explicit transaction handling] | [Has validation]"
"md_operation_numbers_Delete_ByOperation","Master Data","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","","0","","1","md_operation_numbers(1)","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE: md_operation_numbers(1)] | [Has explicit transaction handling] | [Has validation]"
"md_operation_numbers_Get_All","Master Data","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"md_operation_numbers_Update_Operation","Master Data","SIMPLE_UPDATE","IMPLICIT (Single DML)","High","Update","0","","1","md_operation_numbers(1)","0","","1","Yes","Yes","[SIMPLE_UPDATE] | [1 UPDATE: md_operation_numbers(1)] | [Has explicit transaction handling] | [Has validation]"
"md_part_ids_Add_Part","Master Data","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Create","1","md_part_ids(1)","0","","0","","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT: md_part_ids(1)] | [Has explicit transaction handling] | [Has validation]"
"md_part_ids_Delete_ByItemNumber","Master Data","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","","0","","1","md_part_ids(1)","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE: md_part_ids(1)] | [Has explicit transaction handling] | [Has validation]"
"md_part_ids_Get_All","Master Data","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"md_part_ids_Get_ByItemNumber","Master Data","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"md_part_ids_Update_Part","Master Data","SIMPLE_UPDATE","IMPLICIT (Single DML)","High","Update","0","","1","md_part_ids(1)","0","","1","Yes","Yes","[SIMPLE_UPDATE] | [1 UPDATE: md_part_ids(1)] | [Has explicit transaction handling] | [Has validation]"
"sys_GetUserAccessType","System","QUERY","NONE (Read-only)","High","Complex","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_AddQuickButton_1","System","SEQUENTIAL","EXPLICIT (Already implemented)","High","Complex","1","sys_last_10_transactions(1)","1","sys_last_10_transactions(1)","0","","2","Yes","Yes","[SEQUENTIAL] | [1 INSERT: sys_last_10_transactions(1)] + [1 UPDATE: sys_last_10_transactions(1)] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_Get_ByUser_1","System","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_Get_ByUser","System","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_Move_1","System","SEQUENTIAL","EXPLICIT (Already implemented)","High","Transfer","1","sys_last_10_transactions(1)","2","sys_last_10_transactions(2)","1","sys_last_10_transactions(1)","4","Yes","Yes","[SEQUENTIAL] | [1 INSERT: sys_last_10_transactions(1)] + [2 UPDATEs: sys_last_10_transactions(2)] + [1 DELETE: sys_last_10_transactions(1)] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_MoveToLast_ByUser","System","SIMPLE_UPDATE","IMPLICIT (Single DML)","High","Complex","0","","1","sys_last_10_transactions(1)","0","","1","Yes","Yes","[SIMPLE_UPDATE] | [1 UPDATE: sys_last_10_transactions(1)] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_RemoveAndShift_ByUser_1","System","MIXED_DML","EXPLICIT (Already implemented)","High","Complex","0","","1","sys_last_10_transactions(1)","1","sys_last_10_transactions(1)","2","Yes","Yes","[MIXED_DML] | [1 UPDATE: sys_last_10_transactions(1)] + [1 DELETE: sys_last_10_transactions(1)] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_RemoveAndShift_ByUser","System","MIXED_DML","EXPLICIT (Already implemented)","High","Complex","0","","1","sys_last_10_transactions(1)","1","sys_last_10_transactions(1)","2","Yes","Yes","[MIXED_DML] | [1 UPDATE: sys_last_10_transactions(1)] + [1 DELETE: sys_last_10_transactions(1)] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_Reorder_ByUser","System","SEQUENTIAL","EXPLICIT (Already implemented)","High","Complex","2","tempDates(2)","3","tempDates(2), sys_last_10_transactions(1)","1","tempDates(1)","6","Yes","Yes","[SEQUENTIAL] | [2 INSERTs: tempDates(2)] + [3 UPDATEs: tempDates(2), sys_last_10_transactions(1)] + [1 DELETE: tempDates(1)] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_SwapPositions_ByUser","System","BATCH_UPDATE","EXPLICIT (Already implemented)","High","Complex","0","","2","sys_last_10_transactions(2)","0","","2","Yes","Yes","[BATCH_UPDATE] | [2 UPDATEs: sys_last_10_transactions(2)] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_Update_ByUserAndDate","System","SIMPLE_UPDATE","IMPLICIT (Single DML)","High","Update","0","","1","sys_last_10_transactions(1)","0","","1","Yes","Yes","[SIMPLE_UPDATE] | [1 UPDATE: sys_last_10_transactions(1)] | [Has explicit transaction handling] | [Has validation]"
"sys_last_10_transactions_Update_ByUserAndPosition_1","System","SIMPLE_UPDATE","IMPLICIT (Single DML)","High","Update","0","","1","sys_last_10_transactions(1)","0","","1","Yes","Yes","[SIMPLE_UPDATE] | [1 UPDATE: sys_last_10_transactions(1)] | [Has explicit transaction handling] | [Has validation]"
"sys_role_GetIdByName","System","QUERY","NONE (Read-only)","High","Complex","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"sys_roles_Get_ById","System","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"sys_theme_GetAll","System","QUERY","NONE (Read-only)","High","Complex","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"sys_user_access_SetType","System","SIMPLE_UPDATE","IMPLICIT (Single DML)","High","Complex","0","","1","usr_users(1)","0","","1","Yes","Yes","[SIMPLE_UPDATE] | [1 UPDATE: usr_users(1)] | [Has explicit transaction handling] | [Has validation]"
"sys_user_GetByName","System","QUERY","NONE (Read-only)","High","Complex","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"sys_user_GetIdByName","System","QUERY","NONE (Read-only)","High","Complex","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"sys_user_roles_Add","System","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Complex","1","sys_user_roles(1)","0","","0","","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT: sys_user_roles(1)] | [Has explicit transaction handling] | [Has validation]"
"sys_user_roles_Delete","System","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Complex","0","","0","","1","sys_user_roles(1)","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE: sys_user_roles(1)] | [Has explicit transaction handling] | [Has validation]"
"sys_user_roles_Update","System","MIXED_DML","EXPLICIT (Already implemented)","High","Complex","1","sys_user_roles(1)","0","","1","sys_user_roles(1)","2","Yes","Yes","[MIXED_DML] | [1 INSERT: sys_user_roles(1)] + [1 DELETE: sys_user_roles(1)] | [Has explicit transaction handling] | [Has validation]"
"maint_InsertMissingUserUiSettings","Unknown","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Complex","1","mtm_wip_application(1)","0","","0","","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT: mtm_wip_application(1)] | [Has explicit transaction handling] | [Has validation]"
"maint_reload_part_ids_and_operation_numbers","Unknown","BATCH_INSERT","EXPLICIT (Already implemented)","High","Complex","2","mtm_wip_application(2)","0","","0","","2","Yes","Yes","[BATCH_INSERT] | [2 INSERTs: mtm_wip_application(2)] | [Has explicit transaction handling] | [Has validation]"
"migrate_user_roles_debug","Unknown","BATCH_INSERT","EXPLICIT (Already implemented)","High","Complex","8","migration_debug_log(7), mtm_wip_application(1)","0","","0","","8","Yes","Yes","[BATCH_INSERT] | [8 INSERTs: migration_debug_log(7), mtm_wip_application(1)] | [Has explicit transaction handling] | [Has validation]"
"query_get_all_usernames_and_roles","Unknown","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"sp_ReassignBatchNumbers","Unknown","QUERY","NONE (Read-only)","High","Complex","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"usr_ui_settings_Get","Users","QUERY","NONE (Read-only)","High","Complex","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"usr_ui_settings_GetShortcutsJson","Users","QUERY","NONE (Read-only)","High","Complex","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"usr_ui_settings_SetJsonSetting","Users","SEQUENTIAL","EXPLICIT (Already implemented)","High","Complex","1","usr_ui_settings(1)","1","usr_ui_settings(1)","0","","2","Yes","Yes","[SEQUENTIAL] | [1 INSERT: usr_ui_settings(1)] + [1 UPDATE: usr_ui_settings(1)] | [Has explicit transaction handling] | [Has validation]"
"usr_ui_settings_SetShortcutsJson","Users","SIMPLE_UPDATE","IMPLICIT (Single DML)","High","Complex","0","","1","usr_ui_settings(1)","0","","1","Yes","Yes","[SIMPLE_UPDATE] | [1 UPDATE: usr_ui_settings(1)] | [Has explicit transaction handling] | [Has validation]"
"usr_ui_settings_SetThemeJson","Users","SIMPLE_UPDATE","IMPLICIT (Single DML)","High","Complex","0","","1","usr_ui_settings(1)","0","","1","Yes","Yes","[SIMPLE_UPDATE] | [1 UPDATE: usr_ui_settings(1)] | [Has explicit transaction handling] | [Has validation]"
"usr_users_Add_User","Users","SIMPLE_INSERT","IMPLICIT (Single DML)","High","Create","1","usr_users(1)","0","","0","","1","Yes","Yes","[SIMPLE_INSERT] | [1 INSERT: usr_users(1)] | [Has explicit transaction handling] | [Has validation]"
"usr_users_Delete_User","Users","SIMPLE_DELETE","IMPLICIT (Single DML)","High","Delete","0","","0","","1","usr_users(1)","1","Yes","Yes","[SIMPLE_DELETE] | [1 DELETE: usr_users(1)] | [Has explicit transaction handling] | [Has validation]"
"usr_users_Exists","Users","QUERY","NONE (Read-only)","High","Complex","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"usr_users_Get_All","Users","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"usr_users_Get_ByUser","Users","QUERY","NONE (Read-only)","High","Read","0","","0","","0","","0","Yes","Yes","[READ-ONLY] | [Has explicit transaction handling] | [Has validation]"
"usr_users_Update_User","Users","SIMPLE_UPDATE","IMPLICIT (Single DML)","High","Update","0","","1","usr_users(1)","0","","1","Yes","Yes","[SIMPLE_UPDATE] | [1 UPDATE: usr_users(1)] | [Has explicit transaction handling] | [Has validation]"
